	Review	Liked
0	stain	0
1	delug	0
2	hopelessli	0
3	contenti	0
4	scar	0
5	spinster	0
6	barbar	0
7	tortur	0
8	The service was not up to par, either.	0
9	rude	0
10	defianc	0
11	poor	0
12	dirt-cheap	1
13	displeasur	0
14	trick	0
15	handsom	1
16	hedg	0
17	overzeal	0
18	puzzl	0
19	product	1
20	blith	1
21	litigi	0
22	mock	0
23	deliri	0
24	forget	0
25	clunki	0
26	This is a disgrace.	0
27	skittishli	0
28	jaundic	0
29	irresist	1
30	bafflement	0
31	beggar	0
32	rosi	1
33	brilliantli	1
34	improv	1
35	clever	1
36	asham	0
37	smelt	0
38	injustic	0
39	belov	1
40	goodwil	1
41	auspici	1
42	hubri	0
43	sloppili	0
44	Penne vodka excellent!	1
45	cohes	1
46	prudenc	1
47	culpabl	0
48	I've had better bagels from the grocery store.	0
49	smuttier	0
50	They dropped more than the ball.	0
51	I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0
52	static	0
53	I think food should have flavor and texture and both were lacking.	0
54	meticul	1
55	hedonist	0
56	It's worth driving up from Tucson!	1
57	brighten	1
58	I kept looking at the time and it had soon become 35 minutes, yet still no food.	0
59	rever	1
60	odditi	0
61	numb	0
62	delus	0
63	This place is great!!!!!!!!!!!!!!	1
64	snarki	0
65	languid	0
66	respect	1
67	anti-prolifer	0
68	miscreant	0
69	babbl	0
70	scorchingli	0
71	frozen	0
72	Overall, a great experience.	1
73	immatur	0
74	depress	0
75	untouch	0
76	incessantli	0
77	stupid	0
78	Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.	0
79	I had the chicken Pho and it tasted very bland.	0
80	peac	1
81	enrapt	1
82	aspers	0
83	realiz	1
84	supremaci	1
85	quaint	1
86	pertinac	0
87	person	1
88	imprud	0
89	inconsequenti	0
90	traumat	0
91	annihil	0
92	tenac	1
93	suspici	0
94	dubit	0
95	shemal	0
96	unafford	0
97	Frozen pucks of disgust, with some of the worst people behind the register.	0
98	polish	1
99	narrow	0
100	It was a pale color instead of nice and char and has NO flavor.	0
101	varieti	1
102	swollen	0
103	I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.	0
104	stiflingli	0
105	slime	0
106	burdensom	0
107	shirker	0
108	freak	0
109	disparag	0
110	long-tim	0
111	"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas."	1
112	revel	1
113	cravenli	0
114	dumbfound	1
115	ungovern	0
116	undesir	0
117	prudent	1
118	So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.	0
119	blurt	0
120	downheartedli	0
121	righteous	1
122	survivor	1
123	infidel	0
124	slooow	0
125	After all the rave reviews I couldn't wait to eat here......what a disappointment!	0
126	discompos	0
127	The sangria was about half of a glass wine full and was $12, ridiculous.	0
128	access	1
129	unforgiv	0
130	liabl	0
131	self-destruct	0
132	recept	1
133	defend	1
134	benefic	1
135	butcher	0
136	engross	1
137	outstand	1
138	fail	0
139	Very good lunch spot.	1
140	non-confid	0
141	The bathrooms are clean and the place itself is well decorated.	1
142	exil	0
143	I never come again.	0
144	fascin	1
145	unriv	1
146	He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.	0
147	reluct	0
148	slower	0
149	sorri	0
150	vouchsaf	1
151	I came back today since they relocated and still not impressed.	0
